id,frase
1,A professora corrigiu as provas com muita atenção ontem.
2,O cachorro dormiu tranquilo no sofá da sala.
3,Houve muita confusão durante o show de rock.
4,Minha mãe preparou um jantar delicioso para todos nós.
5,O sol apareceu entre as nuvens logo pela manhã.
6,As crianças brincavam alegres no parque da escola.
7,O aluno apresentou seu trabalho com bastante segurança.
8,Está muito frio aqui desde a madrugada passada.
9,O vento soprou forte sobre o mar revolto.
10,A moça parecia cansada depois de tanto estudar.
11,Compramos frutas frescas na feira de domingo cedo.
12,O motorista estacionou o carro perto da padaria.
13,A menina desenhou flores coloridas no caderno novo.
14,Os bombeiros chegaram rápido ao local do incêndio.
15,O cantor se apresentou no teatro com grande sucesso.
16,A criança chorou alto ao ver o palhaço assustador.
17,O gerente analisou o relatório com bastante cuidado ontem.
18,Está chovendo forte desde o início da tarde.
19,Houve protestos intensos na praça principal da cidade.
20,A garota escreveu uma carta longa para o namorado.
21,O gato observava atento os pássaros na janela aberta.
22,A enfermeira aplicou a injeção com muito cuidado.
23,Os turistas visitaram o museu histórico da capital brasileira.
24,O aluno respondeu corretamente todas as perguntas da prova.
25,O bebê dormiu tranquilo no colo da avó querida.
26,A casa ficou linda depois da nova pintura azul.
27,Trabalhamos juntos no projeto final do curso técnico.
28,A secretária marcou as reuniões no calendário da semana.
29,Surgiu um novo problema no servidor principal da empresa.
30,O menino ficou feliz ao ganhar seu primeiro prêmio.
31,Choveu durante toda a tarde na cidade de Santos.
32,O rapaz entregou flores vermelhas para sua namorada.
33,Faz muito calor hoje nesta região do país.
34,O mecânico consertou o carro que estava com defeito.
35,A noite caiu lentamente sobre o vale silencioso.
36,A professora explicou a matéria com clareza e paciência.
37,O cachorro parecia assustado com o barulho do trovão.
38,Houve uma forte explosão na fábrica durante a manhã.
39,A mãe preparou o almoço enquanto o pai descansava.
40,Os alunos estudaram bastante para a prova de matemática.
41,Está ventando muito forte perto da praia de Itapuã.
42,A moça se tornou médica após muitos anos de estudo.
43,A rua ficou completamente alagada após a tempestade.
44,O garoto contou uma piada engraçada para seus amigos.
45,A chuva caiu forte sobre os telhados da cidade.
